index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
1083	1.30283e+02	1.08300e+03	1.03931e+00	1.30250e+02
1084	1.30377e+02	1.08400e+03	1.03928e+00	1.30333e+02
1085	1.30445e+02	1.08500e+03	1.03926e+00	1.30417e+02
1086	1.30538e+02	1.08600e+03	1.03923e+00	1.30500e+02
1087	1.30634e+02	1.08700e+03	1.03921e+00	1.30583e+02
1088	1.30717e+02	1.08800e+03	1.03919e+00	1.30667e+02
1089	1.30788e+02	1.08900e+03	1.03917e+00	1.30750e+02
1090	1.30871e+02	1.09000e+03	1.03916e+00	1.30833e+02
1091	1.30958e+02	1.09100e+03	1.03914e+00	1.30917e+02
1092	1.31046e+02	1.09200e+03	1.03914e+00	1.31000e+02
1093	1.31127e+02	1.09300e+03	1.03914e+00	1.31083e+02
1094	1.31212e+02	1.09400e+03	1.03913e+00	1.31167e+02
1095	1.31293e+02	1.09500e+03	1.03913e+00	1.31250e+02
1096	1.31375e+02	1.09600e+03	1.03913e+00	1.31333e+02
1097	1.31452e+02	1.09700e+03	1.03912e+00	1.31417e+02
1098	1.31529e+02	1.09800e+03	1.03912e+00	1.31500e+02
1099	1.31630e+02	1.09900e+03	1.03910e+00	1.31583e+02
1100	1.31710e+02	1.10000e+03	1.03909e+00	1.31667e+02
1101	1.31794e+02	1.10100e+03	1.03908e+00	1.31750e+02
1102	1.31878e+02	1.10200e+03	1.03906e+00	1.31833e+02
1103	1.31962e+02	1.10300e+03	1.03904e+00	1.31917e+02
1104	1.32045e+02	1.10400e+03	1.03902e+00	1.32000e+02
1105	1.32137e+02	1.10500e+03	1.03899e+00	1.32083e+02
1106	1.32222e+02	1.10600e+03	1.03897e+00	1.32167e+02
1107	1.32293e+02	1.10700e+03	1.03895e+00	1.32250e+02
1108	1.32370e+02	1.10800e+03	1.03893e+00	1.32333e+02
1109	1.32463e+02	1.10900e+03	1.03892e+00	1.32417e+02
1110	1.32538e+02	1.11000e+03	1.03891e+00	1.32500e+02
1111	1.32627e+02	1.11100e+03	1.03891e+00	1.32583e+02
1112	1.32709e+02	1.11200e+03	1.03892e+00	1.32667e+02
1113	1.32793e+02	1.11300e+03	1.03892e+00	1.32750e+02
1114	1.32879e+02	1.11400e+03	1.03893e+00	1.32833e+02
1115	1.32967e+02	1.11500e+03	1.03893e+00	1.32917e+02
1116	1.33048e+02	1.11600e+03	1.03894e+00	1.33000e+02
1117	1.33129e+02	1.11700e+03	1.03894e+00	1.33083e+02
1118	1.33194e+02	1.11800e+03	1.03893e+00	1.33167e+02
1119	1.33292e+02	1.11900e+03	1.03893e+00	1.33250e+02
1120	1.33373e+02	1.12000e+03	1.03891e+00	1.33333e+02
1121	1.33454e+02	1.12100e+03	1.03891e+00	1.33417e+02
1122	1.33533e+02	1.12200e+03	1.03890e+00	1.33500e+02
1123	1.33610e+02	1.12300e+03	1.03890e+00	1.33583e+02
1124	1.33709e+02	1.12400e+03	1.03891e+00	1.33667e+02
1125	1.33789e+02	1.12500e+03	1.03891e+00	1.33750e+02
1126	1.33875e+02	1.12600e+03	1.03890e+00	1.33833e+02
1127	1.33960e+02	1.12700e+03	1.03890e+00	1.33917e+02
1128	1.34040e+02	1.12800e+03	1.03889e+00	1.34000e+02
1129	1.34128e+02	1.12900e+03	1.03887e+00	1.34083e+02
1130	1.34208e+02	1.13000e+03	1.03886e+00	1.34167e+02
1131	1.34295e+02	1.13100e+03	1.03884e+00	1.34250e+02
1132	1.34378e+02	1.13200e+03	1.03882e+00	1.34333e+02
1133	1.34460e+02	1.13300e+03	1.03881e+00	1.34417e+02
1134	1.34539e+02	1.13400e+03	1.03879e+00	1.34500e+02
1135	1.34622e+02	1.13500e+03	1.03878e+00	1.34583e+02
1136	1.34715e+02	1.13600e+03	1.03878e+00	1.34667e+02
1137	1.34802e+02	1.13700e+03	1.03879e+00	1.34750e+02
1138	1.34883e+02	1.13800e+03	1.03879e+00	1.34833e+02
1139	1.34968e+02	1.13900e+03	1.03879e+00	1.34917e+02
1140	1.35048e+02	1.14000e+03	1.03880e+00	1.35000e+02
1141	1.35128e+02	1.14100e+03	1.03879e+00	1.35083e+02
1142	1.35214e+02	1.14200e+03	1.03879e+00	1.35167e+02
1143	1.35303e+02	1.14300e+03	1.03878e+00	1.35250e+02
1144	1.35373e+02	1.14400e+03	1.03876e+00	1.35333e+02
1145	1.35460e+02	1.14500e+03	1.03874e+00	1.35417e+02
1146	1.35543e+02	1.14600e+03	1.03873e+00	1.35500e+02
1147	1.35634e+02	1.14700e+03	1.03873e+00	1.35583e+02
1148	1.35720e+02	1.14800e+03	1.03873e+00	1.35667e+02
1149	1.35810e+02	1.14900e+03	1.03872e+00	1.35750e+02
1150	1.35890e+02	1.15000e+03	1.03871e+00	1.35833e+02
1151	1.35966e+02	1.15100e+03	1.03870e+00	1.35917e+02
1152	1.36053e+02	1.15200e+03	1.03868e+00	1.36000e+02
1153	1.36128e+02	1.15300e+03	1.03866e+00	1.36083e+02
1154	1.36215e+02	1.15400e+03	1.03863e+00	1.36167e+02
1155	1.36298e+02	1.15500e+03	1.03861e+00	1.36250e+02
1156	1.36382e+02	1.15600e+03	1.03859e+00	1.36333e+02
1157	1.36464e+02	1.15700e+03	1.03857e+00	1.36417e+02
1158	1.36542e+02	1.15800e+03	1.03855e+00	1.36500e+02
1159	1.36638e+02	1.15900e+03	1.03854e+00	1.36583e+02
1160	1.36718e+02	1.16000e+03	1.03853e+00	1.36667e+02
1161	1.36798e+02	1.16100e+03	1.03852e+00	1.36750e+02
1162	1.36877e+02	1.16200e+03	1.03850e+00	1.36833e+02
1163	1.36961e+02	1.16300e+03	1.03849e+00	1.36917e+02
1164	1.37039e+02	1.16400e+03	1.03847e+00	1.37000e+02
1165	1.37139e+02	1.16500e+03	1.03846e+00	1.37083e+02
1166	1.37214e+02	1.16600e+03	1.03846e+00	1.37167e+02
1167	1.37304e+02	1.16700e+03	1.03845e+00	1.37250e+02
1168	1.37385e+02	1.16800e+03	1.03845e+00	1.37333e+02
1169	1.37476e+02	1.16900e+03	1.03845e+00	1.37417e+02
1170	1.37543e+02	1.17000e+03	1.03845e+00	1.37500e+02
